gender,age,race,time,house,date,cost,tips,pec,ppec,Rpec,Rtips,Rcost
0,1,0,1,2,1,57.2,5,0.087412587,0.001528192,2,6,6
1,1,2,1,1,5,47.75,5,0.104712042,0.002192922,2,6,6
0,0,0,0,1,7,46,4,0.086956522,0.001890359,2,5,6
1,1,0,1,2,4,42.25,1.7,0.040236686,0.000952348,1,2,6
0,0,0,1,1,2,39.1,3,0.076726343,0.001962311,1,4,6
0,2,0,1,2,6,38.15,5,0.131061599,0.003435429,2,6,6
0,2,1,1,1,7,37.9,0,0,0,1,1,6
0,2,0,1,0,6,36.7,5,0.136239782,0.003712256,2,6,6
0,2,2,1,1,5,35,2,0.057142857,0.001632653,1,3,6
1,1,0,0,2,7,34.65,6,0.173160173,0.004997408,2,7,6
1,1,0,1,2,6,34,6,0.176470588,0.005190311,2,7,6
1,2,0,1,0,4,33.1,5,0.151057402,0.004563668,2,6,6
1,0,0,1,1,6,32.7,5,0.152905199,0.004676,2,6,6
1,0,0,0,2,7,32.5,6,0.184615385,0.005680473,2,7,6
1,2,0,1,0,1,32.45,0,0,0,1,1,6
0,1,1,0,2,7,31,2,0.064516129,0.002081165,1,3,6
1,1,0,1,1,1,30.7,3,0.09771987,0.003183058,2,4,6
0,1,0,0,2,7,30.7,5,0.16286645,0.005305096,2,6,6
0,2,0,1,1,4,30.5,5,0.163934426,0.005374899,2,6,6
1,0,0,0,0,6,30.5,2.5,0.081967213,0.00268745,2,3,6
0,0,2,1,1,5,30,4,0.133333333,0.004444444,2,5,6
0,1,0,1,0,6,29.94,6,0.200400802,0.006693414,3,7,5
1,1,2,1,1,5,29.1,5,0.171821306,0.005904512,2,6,5
1,2,2,1,1,5,29.05,5,0.17211704,0.005924855,2,6,5
0,1,0,0,1,7,29,5,0.172413793,0.005945303,2,6,5
0,1,0,1,1,4,28.95,0,0,0,1,1,5
0,1,0,1,2,7,28.95,5,0.172711572,0.005965857,2,6,5
0,1,2,1,1,5,28.9,1.5,0.051903114,0.001795956,1,2,5
0,2,0,0,2,2,28.65,5,0.17452007,0.006091451,2,6,5
1,1,0,0,1,4,28.4,2.6,0.091549296,0.003223567,2,3,5
0,1,0,0,2,1,28,5,0.178571429,0.006377551,2,6,5
1,1,2,1,2,5,27.8,6,0.215827338,0.007763573,3,7,5
0,0,1,0,0,2,27.65,3,0.108499096,0.003924018,2,4,5
1,0,0,1,0,2,27.45,2,0.072859745,0.002654271,1,3,5
0,0,0,0,0,7,27.3,0.7,0.025641026,0.000939232,1,1,5
0,1,0,1,1,4,27.25,2.7,0.099082569,0.003636058,2,3,5
0,2,0,1,1,6,27,2,0.074074074,0.002743484,1,3,5
0,0,0,0,1,7,27,3,0.111111111,0.004115226,2,4,5
0,0,2,1,0,5,26.85,5,0.186219739,0.006935558,2,6,5
0,1,0,0,2,7,26.75,6,0.224299065,0.008385012,3,7,5
0,2,0,1,2,6,26.5,5,0.188679245,0.007119972,2,6,5
0,1,0,0,1,1,26.3,5,0.190114068,0.007228672,2,6,5
0,0,0,1,1,1,26.2,5.8,0.221374046,0.008449391,3,6,5
0,0,0,0,0,4,25.9,3,0.115830116,0.004472205,2,4,5
0,1,0,0,1,4,25.9,4,0.154440154,0.00596294,2,5,5
1,0,2,1,0,2,25.49,0,0,0,1,1,5
1,0,1,0,0,6,25.45,3.5,0.137524558,0.005403715,2,4,5
1,1,0,0,2,6,25.25,6.7,0.265346535,0.010508774,3,7,5
1,1,0,1,1,7,25.25,5,0.198019802,0.007842368,2,6,5
0,2,0,1,0,1,25.2,6,0.238095238,0.009448224,3,7,5
1,1,2,1,2,5,25,7,0.28,0.0112,3,7,5
1,2,0,1,2,6,25,2,0.08,0.0032,2,3,5
0,2,0,1,1,4,24.95,4,0.160320641,0.006425677,2,5,4
1,1,2,1,0,5,24.75,2,0.080808081,0.003264973,2,3,4
0,0,0,0,1,2,24.75,1,0.04040404,0.001632486,1,2,4
0,1,0,0,1,2,24.5,4,0.163265306,0.00666389,2,5,4
1,2,0,1,1,1,24.4,2.6,0.106557377,0.004367106,2,3,4
0,0,2,1,1,1,24.3,2.5,0.102880658,0.004233772,2,3,4
0,0,2,1,1,5,24.25,2,0.082474227,0.003400999,2,3,4
1,0,0,1,1,2,24.25,3,0.12371134,0.005101499,2,4,4
0,1,2,1,2,5,24.2,3.8,0.157024793,0.006488628,2,4,4
1,2,0,1,1,7,24.15,4,0.16563147,0.006858446,2,5,4
0,0,0,1,0,6,24.05,2,0.083160083,0.0034578,2,3,4
0,2,0,1,2,1,24,5,0.208333333,0.008680556,3,6,4
0,0,0,0,1,6,23.9,4,0.167364017,0.007002679,2,5,4
0,0,0,0,1,4,23.85,0,0,0,1,1,4
0,2,0,1,1,4,23.8,2,0.084033613,0.003530824,2,3,4
0,0,0,1,0,4,23.6,2,0.084745763,0.003590922,2,3,4
1,0,2,1,1,5,23.5,6,0.255319149,0.010864645,3,7,4
1,2,0,1,1,1,23.5,4,0.170212766,0.007243096,2,5,4
0,2,0,1,2,7,23.45,3,0.12793177,0.005455513,2,4,4
0,2,0,1,2,7,23.35,3,0.128479657,0.005502341,2,4,4
1,2,2,1,1,5,23.3,3,0.128755365,0.005525981,2,4,4
0,2,1,0,0,6,23.25,2.7,0.116129032,0.004994797,2,3,4
0,0,0,1,0,1,23.2,1.8,0.077586207,0.003344233,1,2,4
1,0,2,0,0,4,22.8,3.2,0.140350877,0.00615574,2,4,4
0,1,1,1,0,4,22.75,2,0.087912088,0.003864268,2,3,4
1,2,0,1,1,1,22.65,2,0.088300221,0.003898464,2,3,4
0,1,0,0,1,2,22.6,3,0.132743363,0.0058736,2,4,4
0,1,0,0,2,1,22.25,6,0.269662921,0.012119682,3,7,4
1,1,0,1,1,7,22,4,0.181818182,0.008264463,2,5,4
1,1,0,1,1,7,22,2,0.090909091,0.004132231,2,3,4
1,1,1,1,1,6,21.85,2.15,0.098398169,0.004503349,2,3,4
0,1,0,1,0,1,21.7,3,0.138248848,0.006370915,2,4,4
0,1,0,0,2,6,21.65,5,0.230946882,0.010667292,3,6,4
1,0,0,1,0,6,21.6,5,0.231481481,0.010716735,3,6,4
0,0,0,1,1,4,21.4,3,0.140186916,0.00655079,2,4,4
1,0,0,1,2,4,21.4,3,0.140186916,0.00655079,2,4,4
1,2,0,1,1,1,21.35,3,0.140515222,0.006581509,2,4,4
1,1,0,1,2,7,20.85,4.3,0.206235012,0.009891367,3,5,4
1,1,0,0,0,1,20.7,5,0.241545894,0.011668884,3,6,4
0,2,0,0,1,6,20.65,3,0.14527845,0.007035276,2,4,4
0,0,0,1,2,6,20.45,0,0,0,1,1,4
1,2,0,1,1,6,20.45,2,0.097799511,0.004782372,2,3,4
1,0,2,0,0,1,20.35,3,0.147420147,0.007244233,2,4,4
1,0,1,1,0,4,19.95,3,0.15037594,0.007537641,2,4,3
1,1,0,1,1,4,19.95,3,0.15037594,0.007537641,2,4,3
0,0,0,0,0,7,19.75,2,0.101265823,0.005127383,2,3,3
1,1,1,0,0,1,19.7,4,0.203045685,0.010306888,3,5,3
0,0,1,1,0,1,19.6,2,0.102040816,0.005206164,2,3,3
1,1,0,0,1,6,19.5,4,0.205128205,0.010519395,3,5,3
0,2,0,0,1,6,19.5,3,0.153846154,0.007889546,2,4,3
0,2,0,1,1,2,19.45,2,0.102827763,0.005286774,2,3,3
1,2,2,1,2,5,19.25,4,0.207792208,0.0107944,3,5,3
1,1,0,0,1,6,19.2,5,0.260416667,0.013563368,3,6,3
1,1,0,1,1,1,18.6,5,0.268817204,0.014452538,3,6,3
1,0,0,1,1,1,18.6,3,0.161290323,0.008671523,2,4,3
0,0,2,1,1,5,18.5,5.5,0.297297297,0.016070124,3,6,3
1,1,0,0,0,1,18.5,3,0.162162162,0.008765522,2,4,3
0,0,0,0,1,2,18.2,0,0,0,1,1,3
1,0,0,1,1,6,18,2,0.111111111,0.00617284,2,3,3
1,1,0,0,0,7,18,3,0.166666667,0.009259259,2,4,3
1,2,0,0,1,7,17.9,5,0.279329609,0.015605006,3,6,3
1,1,0,1,0,4,17.65,2.75,0.155807365,0.008827613,2,3,3
0,1,0,0,1,2,17.5,4,0.228571429,0.013061224,3,5,3
1,1,0,1,1,2,17.5,5,0.285714286,0.016326531,3,6,3
0,2,0,0,1,4,17.5,1.5,0.085714286,0.004897959,2,2,3
1,1,0,0,1,2,17.45,5,0.286532951,0.016420226,3,6,3
1,0,2,1,1,2,17.1,3,0.175438596,0.010259567,2,4,3
0,0,0,1,0,2,16.9,3,0.177514793,0.010503834,2,4,3
0,1,1,1,0,2,16.75,0,0,0,1,1,3
1,0,0,1,1,4,16.7,3,0.179640719,0.010756929,2,4,3
1,0,0,0,2,6,16.7,0,0,0,1,1,3
0,2,2,1,1,5,16.45,2.5,0.151975684,0.009238643,2,3,3
0,1,0,1,0,4,16.45,1,0.060790274,0.003695457,1,2,3
1,1,0,1,1,2,16.2,3,0.185185185,0.011431184,2,4,3
1,1,1,1,0,2,15.95,2,0.12539185,0.007861558,2,3,3
0,2,0,0,1,6,15.8,6.2,0.392405063,0.024835763,3,7,3
0,0,0,0,1,4,15.75,0,0,0,1,1,3
1,0,0,1,1,6,15.7,3,0.191082803,0.012170879,2,4,3
0,0,0,1,1,6,15.6,2,0.128205128,0.008218277,2,3,3
0,2,0,0,1,6,15.5,5,0.322580645,0.020811655,3,6,3
0,2,0,0,1,1,15.45,2,0.129449838,0.00837863,2,3,3
1,0,1,1,1,4,15.3,3,0.196078431,0.012815584,2,4,3
0,2,0,0,2,2,15.25,5,0.327868852,0.021499597,3,6,3
1,0,2,1,1,5,15.15,5.8,0.382838284,0.025269854,3,6,3
1,1,0,1,1,4,14.9,4,0.268456376,0.018017206,3,5,2
0,1,0,1,1,7,14.8,2,0.135135135,0.009130752,2,3,2
1,2,0,1,1,6,14.65,4,0.273037543,0.018637375,3,5,2
0,2,0,0,0,2,14.45,0,0,0,1,1,2
1,1,0,1,1,2,14.3,5,0.34965035,0.024451073,3,6,2
0,1,0,1,0,4,14.3,3,0.20979021,0.014670644,3,4,2
1,0,0,0,1,6,14.2,2.8,0.197183099,0.013886134,2,3,2
1,0,0,1,0,1,13.9,2.1,0.151079137,0.010869003,2,3,2
1,2,0,0,1,7,13.8,5,0.362318841,0.026254988,3,6,2
1,2,0,1,2,4,13.55,4.4,0.324723247,0.023964815,3,5,2
0,0,2,1,1,5,13.5,2,0.148148148,0.010973937,2,3,2
0,1,0,0,1,1,13.5,3,0.222222222,0.016460905,3,4,2
1,1,0,1,1,2,13.5,1.5,0.111111111,0.008230453,2,2,2
0,2,0,0,1,7,13.25,3,0.226415094,0.017087932,3,4,2
0,0,0,0,1,4,13,4,0.307692308,0.023668639,3,5,2
1,1,0,1,0,2,12.75,3,0.235294118,0.018454441,3,4,2
0,0,0,0,2,4,12.7,2,0.157480315,0.012400025,2,3,2
1,0,2,1,0,1,12.6,1.5,0.119047619,0.009448224,2,2,2
0,2,0,0,1,6,12.5,1,0.08,0.0064,2,2,2
0,0,0,0,1,2,12.45,2,0.16064257,0.012903018,2,3,2
1,1,0,1,0,7,12.35,2,0.16194332,0.013112819,2,3,2
1,1,0,1,0,7,12.25,3,0.244897959,0.01999167,3,4,2
0,1,0,0,1,2,12.05,5,0.414937759,0.034434669,3,6,2
0,2,0,0,0,4,12,2,0.166666667,0.013888889,2,3,2
0,2,0,1,2,6,11.85,3,0.253164557,0.021364098,3,4,2
0,2,0,0,0,1,11.75,1,0.085106383,0.007243096,2,2,2
